7499,8759;0,01559;0,0181;0,01606
7499,7553;0,01533;0,01883;0,01581
7499,6347;0,01507;0,01921;0,01549
7499,5142;0,01488;0,01895;0,01516
7499,3936;0,01459;0,0179;0,01477
7499,2731;0,01403;0,01618;0,01418
7499,1525;0,01319;0,01419;0,01337
7499,032;0,01236;0,01248;0,01258
7498,9114;0,01191;0,01161;0,0123
7498,7909;0,01211;0,01181;0,01284
7498,6703;0,0129;0,01289;0,01411
7498,5497;0,01399;0,0143;0,01551
7498,4292;0,01499;0,01547;0,01639
7498,3086;0,01569;0,01607;0,01648
7498,1881;0,01601;0,01615;0,01602
7498,0675;0,01606;0,01607;0,01556
7497,947;0,01599;0,01619;0,01553
7497,8264;0,01598;0,01669;0,01595
7497,7059;0,01616;0,01742;0,01651
7497,5853;0,01661;0,01811;0,01686
7497,4647;0,01725;0,01859;0,01685
7497,3442;0,01783;0,01883;0,01653
7497,2236;0,01798;0,01892;0,01601
7497,1031;0,01742;0,01889;0,01537
7496,9825;0,01619;0,01863;0,01463
7496,862;0,0146;0,01798;0,01382
7496,7414;0,01314;0,01692;0,01311
7496,6209;0,01213;0,01563;0,0127
7496,5003;0,01164;0,01446;0,01267
7496,3797;0,01153;0,01377;0,01298
7496,2592;0,01171;0,01378;0,0135
7496,1386;0,01217;0,01446;0,0141
7496,0181;0,0129;0,01557;0,01474
7495,8975;0,01372;0,0167;0,01536
7495,777;0,01433;0,01749;0,01592
7495,6564;0,01449;0,01771;0,01633
7495,5359;0,0142;0,01737;0,0165
7495,4153;0,01366;0,01662;0,01638
7495,2947;0,01306;0,01566;0,01598
7495,1742;0,01241;0,01465;0,01538
7495,0536;0,01165;0,01372;0,01474
7494,9331;0,0108;0,01306;0,0142
7494,8125;0,01007;0,01278;0,01383
7494,692;0,00978;0,01288;0,01358
7494,5714;0,01016;0,01325;0,01338
7494,4509;0,01111;0,01369;0,01326
7494,3303;0,01231;0,01415;0,01335
7494,2097;0,01331;0,01467;0,01374
7494,0892;0,01385;0,01528;0,01437
7493,9686;0,01396;0,0159;0,01501
7493,8481;0,01395;0,01634;0,01546
7493,7275;0,01417;0,01649;0,01573
7493,607;0,01476;0,01643;0,01595
7493,4864;0,01554;0,01631;0,0162
7493,3659;0,01612;0,01618;0,01634
